network,station,name,lat,lon,alt,sensitivity,site,vs30
QH,C0003,C0003,37.04000,100.77000,0,70000000000.0,地表,376.18
QH,C0004,C0004,36.89000,100.99000,0,70000000000.0,地表,443.06
QH,C0005,C0005,37.00000,100.86000,0,70000000000.0,地表,284.46
QH,C0006,C0006,36.91000,100.89000,0,70000000000.0,地表,463.31
QH,C0007,C0007,36.83000,100.81000,0,70000000000.0,地表,436.12
QH,C0008,C0008,37.10000,100.83000,0,70000000000.0,地表,325.03
QH,C0009,C0009,36.96000,100.98000,0,70000000000.0,地表,424.34
QH,C0010,C0010,37.04000,101.05000,0,70000000000.0,地表,263.03
QH,C0011,C0011,37.28000,100.25000,0,70000000000.0,地表,329.84
QH,C0012,C0012,36.84000,100.93000,0,70000000000.0,地表,493.16
QH,C0016,C0016,37.18000,102.06000,0,70000000000.0,地表,900.00
QH,C0018,C0018,37.33000,101.86000,0,70000000000.0,地表,603.27
QH,C0021,C0021,37.27000,101.83000,0,70000000000.0,地表,733.75
QH,C0022,C0022,37.33000,101.72000,0,70000000000.0,地表,691.48
QH,C0023,C0023,37.40000,101.81000,0,70000000000.0,地表,600.29
QH,C0024,C0024,37.35000,101.61000,0,70000000000.0,地表,457.17
QH,C0025,C0025,37.43000,101.62000,0,70000000000.0,地表,663.83
QH,C0029,C0029,37.65000,101.24000,0,70000000000.0,地表,442.94
QH,C0030,C0030,37.41000,101.48000,0,70000000000.0,地表,416.69
QH,C0031,C0031,37.50000,101.23000,0,70000000000.0,地表,436.77
QH,C0033,C0033,37.54000,101.42000,0,70000000000.0,地表,374.14
QH,C0034,C0034,37.35000,101.41000,0,70000000000.0,地表,545.65
QH,C0042,C0042,37.71000,100.67000,0,70000000000.0,地表,439.96
QH,C0043,C0043,37.66000,100.88000,0,70000000000.0,地表,556.87
QH,C0044,C0044,37.75000,100.51000,0,70000000000.0,地表,527.34
QH,C0046,C0046,37.65000,101.12000,0,70000000000.0,地表,382.51
QH,C0047,C0047,37.69000,101.05000,0,70000000000.0,地表,484.66
QH,C0048,C0048,37.65000,100.76000,0,70000000000.0,地表,461.53
QH,C0050,C0050,37.22000,100.70000,0,70000000000.0,地表,469.79
QH,C0052,C0052,37.78000,100.30000,0,70000000000.0,地表,451.69
QH,C0059,C0059,37.26000,100.61000,0,70000000000.0,地表,363.57
QH,C0060,C0060,37.21000,100.43000,0,70000000000.0,地表,262.63
QH,C0061,C0061,37.34000,100.52000,0,70000000000.0,地表,454.23
QH,C0062,C0062,37.12000,100.62000,0,70000000000.0,地表,245.07
QH,C0063,C0063,37.47000,100.48000,0,70000000000.0,地表,456.28
QH,C0064,C0064,37.10000,100.67000,0,70000000000.0,地表,476.58
QH,C0065,C0065,37.15000,100.54000,0,70000000000.0,地表,286.52
QH,CEXPJ,CEXPJ,36.63000,101.72000,0,70000000000.0,基岩,586.55
QH,CH008,CH008,36.99000,100.94000,0,70000000000.0,地表,229.98
QH,CH009,CH009,37.30000,100.21000,0,70000000000.0,地表,325.68
QH,CM007,CM007,37.62000,101.20000,0,70000000000.0,地表,417.12
QH,D0002,D0002,35.67000,101.83000,0,70000000000.0,地表,900.00
