Network,Station,Name,Latitude,Longitude,Elevation,Sensitivity,Site,Vs30
BR,B0101,BR B0101 BHZ ,35.688599,139.692107,0.0,70000000000.0,,
BR,B0102,BR B0102 BHZ ,35.845504,139.778362,0.0,70000000000.0,,
BR,B0103,BR B0103 BHZ ,35.930708,139.386516,0.0,70000000000.0,,
BR,B0104,BR B0104 BHZ ,35.353596,139.427880,0.0,70000000000.0,,
BR,B0105,BR B0105 BHZ ,36.277346,139.696564,0.0,70000000000.0,,
BR,B0106,BR B0106 BHZ ,39.896563,116.472624,0.0,70000000000.0,,
BR,B0107,BR B0107 BHZ ,37.589854,126.840039,0.0,70000000000.0,,
BR,B0108,BR B0108 BHZ ,51.213637,71.469944,0.0,70000000000.0,,
BR,B0109,BR B0109 BHZ ,47.859439,106.991876,0.0,70000000000.0,,
BR,B0110,BR B0110 BHZ ,55.821989,37.677678,0.0,70000000000.0,,
BR,B0111,BR B0111 BHZ ,40.673139,140.741354,0.0,70000000000.0,,
BR,B0112,BR B0112 BHZ ,40.166724,141.389863,0.0,70000000000.0,,
BR,B0113,BR B0113 BHZ ,35.524298,139.568468,0.0,70000000000.0,,
BR,B0114,BR B0114 BHZ ,35.701665,139.776755,0.0,70000000000.0,,
